[META] fileC_10m.bin.meta.json: 2560 blocos x 4096 B  sha256=95667af31484e405...
[SEEDER] 2560 blocos carregados de 'fileC_10m.bin'
[SEEDER] aguardando requisicoes... (Ctrl+C para encerrar)
[SERVER] ouvindo na porta 5000 (select/non-blocking)
[SERVER] nova conexao: 127.0.0.1:37626
[SERVER] nova conexao: 127.0.0.1:37624
[SERVER] bloco 32 -> 127.0.0.1:37624
[SERVER] bloco 30 -> 127.0.0.1:37626
[SERVER] bloco 33 -> 127.0.0.1:37624
[SERVER] bloco 31 -> 127.0.0.1:37626
[SERVER] bloco 34 -> 127.0.0.1:37624
[SERVER] bloco 32 -> 127.0.0.1:37626
[SERVER] bloco 35 -> 127.0.0.1:37624
[SERVER] bloco 33 -> 127.0.0.1:37626
[SERVER] bloco 36 -> 127.0.0.1:37624
[SERVER] bloco 34 -> 127.0.0.1:37626
[SERVER] bloco 37 -> 127.0.0.1:37624
[SERVER] bloco 38 -> 127.0.0.1:37624
[SERVER] bloco 35 -> 127.0.0.1:37626
[SERVER] bloco 39 -> 127.0.0.1:37624
[SERVER] bloco 36 -> 127.0.0.1:37626
[SERVER] bloco 37 -> 127.0.0.1:37626
[SERVER] bloco 40 -> 127.0.0.1:37624
[SERVER] bloco 38 -> 127.0.0.1:37626
[SERVER] bloco 41 -> 127.0.0.1:37624
[SERVER] bloco 39 -> 127.0.0.1:37626
[SERVER] bloco 42 -> 127.0.0.1:37624
[SERVER] bloco 40 -> 127.0.0.1:37626
[SERVER] bloco 43 -> 127.0.0.1:37624
[SERVER] bloco 41 -> 127.0.0.1:37626
[SERVER] bloco 44 -> 127.0.0.1:37624
[SERVER] bloco 42 -> 127.0.0.1:37626
[SERVER] bloco 45 -> 127.0.0.1:37624
[SERVER] bloco 43 -> 127.0.0.1:37626
[SERVER] bloco 46 -> 127.0.0.1:37624
[SERVER] bloco 44 -> 127.0.0.1:37626
[SERVER] bloco 47 -> 127.0.0.1:37624
[SERVER] bloco 45 -> 127.0.0.1:37626
[SERVER] bloco 48 -> 127.0.0.1:37624
[SERVER] bloco 46 -> 127.0.0.1:37626
[SERVER] bloco 49 -> 127.0.0.1:37624
[SERVER] bloco 50 -> 127.0.0.1:37624
[SERVER] bloco 47 -> 127.0.0.1:37626
[SERVER] bloco 51 -> 127.0.0.1:37624
[SERVER] bloco 48 -> 127.0.0.1:37626
[SERVER] bloco 52 -> 127.0.0.1:37624
[SERVER] bloco 49 -> 127.0.0.1:37626
[SERVER] bloco 53 -> 127.0.0.1:37624
[SERVER] bloco 50 -> 127.0.0.1:37626
[SERVER] bloco 54 -> 127.0.0.1:37624
[SERVER] bloco 55 -> 127.0.0.1:37624
[SERVER] bloco 51 -> 127.0.0.1:37626
[SERVER] bloco 56 -> 127.0.0.1:37624
[SERVER] bloco 52 -> 127.0.0.1:37626
[SERVER] bloco 57 -> 127.0.0.1:37624
[SERVER] bloco 53 -> 127.0.0.1:37626
[SERVER] bloco 54 -> 127.0.0.1:37626
[SERVER] bloco 58 -> 127.0.0.1:37624
[SERVER] bloco 55 -> 127.0.0.1:37626
[SERVER] bloco 59 -> 127.0.0.1:37624
[SERVER] bloco 56 -> 127.0.0.1:37626
[SERVER] bloco 60 -> 127.0.0.1:37624
[SERVER] bloco 57 -> 127.0.0.1:37626
[SERVER] bloco 61 -> 127.0.0.1:37624
[SERVER] bloco 58 -> 127.0.0.1:37626
[SERVER] bloco 62 -> 127.0.0.1:37624
[SERVER] bloco 59 -> 127.0.0.1:37626
[SERVER] bloco 63 -> 127.0.0.1:37624
[SERVER] bloco 60 -> 127.0.0.1:37626
[SERVER] bloco 64 -> 127.0.0.1:37624
[SERVER] bloco 61 -> 127.0.0.1:37626
[SERVER] bloco 62 -> 127.0.0.1:37626
[SERVER] bloco 65 -> 127.0.0.1:37624
[SERVER] bloco 63 -> 127.0.0.1:37626
[SERVER] bloco 66 -> 127.0.0.1:37624
[SERVER] bloco 64 -> 127.0.0.1:37626
[SERVER] bloco 67 -> 127.0.0.1:37624
[SERVER] bloco 65 -> 127.0.0.1:37626
[SERVER] bloco 68 -> 127.0.0.1:37624
[SERVER] bloco 66 -> 127.0.0.1:37626
[SERVER] bloco 69 -> 127.0.0.1:37624
[SERVER] bloco 70 -> 127.0.0.1:37624
[SERVER] bloco 67 -> 127.0.0.1:37626
[SERVER] bloco 68 -> 127.0.0.1:37626
[SERVER] bloco 71 -> 127.0.0.1:37624
[SERVER] bloco 69 -> 127.0.0.1:37626
[SERVER] bloco 72 -> 127.0.0.1:37624
[SERVER] bloco 70 -> 127.0.0.1:37626
[SERVER] bloco 73 -> 127.0.0.1:37624
[SERVER] bloco 71 -> 127.0.0.1:37626
[SERVER] bloco 74 -> 127.0.0.1:37624
[SERVER] bloco 72 -> 127.0.0.1:37626
[SERVER] bloco 75 -> 127.0.0.1:37624
[SERVER] bloco 73 -> 127.0.0.1:37626
[SERVER] bloco 76 -> 127.0.0.1:37624
[SERVER] bloco 77 -> 127.0.0.1:37624
[SERVER] bloco 74 -> 127.0.0.1:37626
[SERVER] bloco 78 -> 127.0.0.1:37624
[SERVER] bloco 75 -> 127.0.0.1:37626
[SERVER] bloco 79 -> 127.0.0.1:37624
[SERVER] bloco 76 -> 127.0.0.1:37626
[SERVER] bloco 80 -> 127.0.0.1:37624
[SERVER] bloco 77 -> 127.0.0.1:37626
[SERVER] bloco 81 -> 127.0.0.1:37624
[SERVER] bloco 78 -> 127.0.0.1:37626
[SERVER] bloco 82 -> 127.0.0.1:37624
[SERVER] bloco 79 -> 127.0.0.1:37626
[SERVER] bloco 83 -> 127.0.0.1:37624
[SERVER] bloco 80 -> 127.0.0.1:37626
[SERVER] bloco 84 -> 127.0.0.1:37624
[SERVER] bloco 81 -> 127.0.0.1:37626
[SERVER] bloco 85 -> 127.0.0.1:37624
[SERVER] bloco 82 -> 127.0.0.1:37626
[SERVER] bloco 86 -> 127.0.0.1:37624
[SERVER] bloco 83 -> 127.0.0.1:37626
[SERVER] bloco 87 -> 127.0.0.1:37624
[SERVER] bloco 84 -> 127.0.0.1:37626
[SERVER] bloco 85 -> 127.0.0.1:37626
[SERVER] bloco 88 -> 127.0.0.1:37624
[SERVER] bloco 86 -> 127.0.0.1:37626
[SERVER] bloco 89 -> 127.0.0.1:37624
[SERVER] bloco 87 -> 127.0.0.1:37626
[SERVER] bloco 90 -> 127.0.0.1:37624
[SERVER] bloco 88 -> 127.0.0.1:37626
[SERVER] bloco 89 -> 127.0.0.1:37626
[SERVER] bloco 91 -> 127.0.0.1:37624
[SERVER] bloco 90 -> 127.0.0.1:37626
[SERVER] bloco 92 -> 127.0.0.1:37624
[SERVER] bloco 91 -> 127.0.0.1:37626
[SERVER] bloco 93 -> 127.0.0.1:37624
[SERVER] bloco 92 -> 127.0.0.1:37626
[SERVER] bloco 94 -> 127.0.0.1:37624
[SERVER] bloco 93 -> 127.0.0.1:37626
[SERVER] bloco 95 -> 127.0.0.1:37624
[SERVER] bloco 94 -> 127.0.0.1:37626
[SERVER] bloco 96 -> 127.0.0.1:37624
[SERVER] bloco 95 -> 127.0.0.1:37626
[SERVER] bloco 97 -> 127.0.0.1:37624
[SERVER] bloco 96 -> 127.0.0.1:37626
[SERVER] bloco 98 -> 127.0.0.1:37624
[SERVER] bloco 97 -> 127.0.0.1:37626
[SERVER] bloco 99 -> 127.0.0.1:37624
[SERVER] bloco 98 -> 127.0.0.1:37626
[SERVER] bloco 100 -> 127.0.0.1:37624
[SERVER] bloco 99 -> 127.0.0.1:37626
[SERVER] bloco 101 -> 127.0.0.1:37624
[SERVER] bloco 100 -> 127.0.0.1:37626
[SERVER] bloco 102 -> 127.0.0.1:37624
[SERVER] bloco 103 -> 127.0.0.1:37624
[SERVER] bloco 101 -> 127.0.0.1:37626
[SERVER] bloco 104 -> 127.0.0.1:37624
[SERVER] bloco 105 -> 127.0.0.1:37624
[SERVER] bloco 102 -> 127.0.0.1:37626
[SERVER] bloco 106 -> 127.0.0.1:37624
[SERVER] bloco 103 -> 127.0.0.1:37626
[SERVER] bloco 107 -> 127.0.0.1:37624
[SERVER] bloco 104 -> 127.0.0.1:37626
[SERVER] bloco 108 -> 127.0.0.1:37624
[SERVER] bloco 109 -> 127.0.0.1:37624
[SERVER] bloco 110 -> 127.0.0.1:37624
[SERVER] bloco 111 -> 127.0.0.1:37624
[SERVER] bloco 105 -> 127.0.0.1:37626
[SERVER] bloco 112 -> 127.0.0.1:37624
[SERVER] bloco 106 -> 127.0.0.1:37626
[SERVER] bloco 113 -> 127.0.0.1:37624
[SERVER] bloco 107 -> 127.0.0.1:37626
[SERVER] bloco 114 -> 127.0.0.1:37624
[SERVER] bloco 108 -> 127.0.0.1:37626
[SERVER] bloco 115 -> 127.0.0.1:37624
[SERVER] bloco 109 -> 127.0.0.1:37626
[SERVER] bloco 116 -> 127.0.0.1:37624
[SERVER] bloco 110 -> 127.0.0.1:37626
[SERVER] bloco 111 -> 127.0.0.1:37626
[SERVER] bloco 117 -> 127.0.0.1:37624
[SERVER] bloco 112 -> 127.0.0.1:37626
[SERVER] bloco 113 -> 127.0.0.1:37626
[SERVER] bloco 118 -> 127.0.0.1:37624
[SERVER] bloco 114 -> 127.0.0.1:37626
[SERVER] bloco 119 -> 127.0.0.1:37624
[SERVER] bloco 115 -> 127.0.0.1:37626
[SERVER] bloco 120 -> 127.0.0.1:37624
[SERVER] bloco 116 -> 127.0.0.1:37626
[SERVER] bloco 121 -> 127.0.0.1:37624
[SERVER] bloco 117 -> 127.0.0.1:37626
[SERVER] bloco 122 -> 127.0.0.1:37624
[SERVER] bloco 118 -> 127.0.0.1:37626
[SERVER] bloco 123 -> 127.0.0.1:37624
[SERVER] bloco 119 -> 127.0.0.1:37626
[SERVER] bloco 124 -> 127.0.0.1:37624
[SERVER] bloco 120 -> 127.0.0.1:37626
[SERVER] bloco 125 -> 127.0.0.1:37624
[SERVER] bloco 126 -> 127.0.0.1:37624
[SERVER] bloco 121 -> 127.0.0.1:37626
[SERVER] bloco 122 -> 127.0.0.1:37626
[SERVER] bloco 127 -> 127.0.0.1:37624
[SERVER] bloco 123 -> 127.0.0.1:37626
[SERVER] bloco 128 -> 127.0.0.1:37624
[SERVER] bloco 124 -> 127.0.0.1:37626
[SERVER] bloco 129 -> 127.0.0.1:37624
[SERVER] bloco 125 -> 127.0.0.1:37626
[SERVER] bloco 130 -> 127.0.0.1:37624
[SERVER] bloco 126 -> 127.0.0.1:37626
[SERVER] bloco 131 -> 127.0.0.1:37624
[SERVER] bloco 127 -> 127.0.0.1:37626
[SERVER] bloco 132 -> 127.0.0.1:37624
[SERVER] bloco 128 -> 127.0.0.1:37626
[SERVER] bloco 133 -> 127.0.0.1:37624
[SERVER] bloco 129 -> 127.0.0.1:37626
[SERVER] bloco 134 -> 127.0.0.1:37624
[SERVER] bloco 135 -> 127.0.0.1:37624
[SERVER] bloco 130 -> 127.0.0.1:37626
[SERVER] bloco 136 -> 127.0.0.1:37624
[SERVER] bloco 131 -> 127.0.0.1:37626
[SERVER] bloco 137 -> 127.0.0.1:37624
[SERVER] bloco 132 -> 127.0.0.1:37626
[SERVER] bloco 138 -> 127.0.0.1:37624
[SERVER] bloco 133 -> 127.0.0.1:37626
[SERVER] bloco 139 -> 127.0.0.1:37624
[SERVER] bloco 134 -> 127.0.0.1:37626
[SERVER] bloco 140 -> 127.0.0.1:37624
[SERVER] bloco 135 -> 127.0.0.1:37626
[SERVER] bloco 141 -> 127.0.0.1:37624
[SERVER] bloco 136 -> 127.0.0.1:37626
[SERVER] bloco 142 -> 127.0.0.1:37624
[SERVER] bloco 137 -> 127.0.0.1:37626
[SERVER] bloco 143 -> 127.0.0.1:37624
[SERVER] bloco 138 -> 127.0.0.1:37626
[SERVER] bloco 144 -> 127.0.0.1:37624
[SERVER] bloco 145 -> 127.0.0.1:37624
[SERVER] bloco 139 -> 127.0.0.1:37626
[SERVER] bloco 140 -> 127.0.0.1:37626
[SERVER] bloco 146 -> 127.0.0.1:37624
[SERVER] bloco 141 -> 127.0.0.1:37626
[SERVER] bloco 147 -> 127.0.0.1:37624
[SERVER] bloco 142 -> 127.0.0.1:37626
[SERVER] bloco 148 -> 127.0.0.1:37624
[SERVER] bloco 143 -> 127.0.0.1:37626
[SERVER] bloco 149 -> 127.0.0.1:37624
[SERVER] bloco 150 -> 127.0.0.1:37624
[SERVER] bloco 144 -> 127.0.0.1:37626
[SERVER] bloco 151 -> 127.0.0.1:37624
[SERVER] bloco 145 -> 127.0.0.1:37626
[SERVER] bloco 146 -> 127.0.0.1:37626
[SERVER] bloco 152 -> 127.0.0.1:37624
[SERVER] bloco 147 -> 127.0.0.1:37626
[SERVER] bloco 153 -> 127.0.0.1:37624
[SERVER] bloco 148 -> 127.0.0.1:37626
[SERVER] bloco 154 -> 127.0.0.1:37624
[SERVER] bloco 149 -> 127.0.0.1:37626
[SERVER] bloco 155 -> 127.0.0.1:37624
[SERVER] bloco 150 -> 127.0.0.1:37626
[SERVER] bloco 156 -> 127.0.0.1:37624
[SERVER] bloco 151 -> 127.0.0.1:37626
[SERVER] bloco 157 -> 127.0.0.1:37624
[SERVER] bloco 158 -> 127.0.0.1:37624
[SERVER] bloco 152 -> 127.0.0.1:37626
[SERVER] bloco 159 -> 127.0.0.1:37624
[SERVER] bloco 153 -> 127.0.0.1:37626
[SERVER] bloco 160 -> 127.0.0.1:37624
[SERVER] bloco 154 -> 127.0.0.1:37626
[SERVER] bloco 161 -> 127.0.0.1:37624
[SERVER] bloco 155 -> 127.0.0.1:37626
[SERVER] bloco 162 -> 127.0.0.1:37624
[SERVER] bloco 156 -> 127.0.0.1:37626
[SERVER] bloco 163 -> 127.0.0.1:37624
[SERVER] bloco 157 -> 127.0.0.1:37626
[SERVER] bloco 164 -> 127.0.0.1:37624
[SERVER] bloco 165 -> 127.0.0.1:37624
[SERVER] bloco 166 -> 127.0.0.1:37624
[SERVER] bloco 158 -> 127.0.0.1:37626
[SERVER] bloco 167 -> 127.0.0.1:37624
[SERVER] bloco 159 -> 127.0.0.1:37626
[SERVER] bloco 160 -> 127.0.0.1:37626
[SERVER] bloco 168 -> 127.0.0.1:37624
[SERVER] bloco 161 -> 127.0.0.1:37626
[SERVER] bloco 169 -> 127.0.0.1:37624
[SERVER] bloco 162 -> 127.0.0.1:37626
[SERVER] bloco 163 -> 127.0.0.1:37626
[SERVER] bloco 164 -> 127.0.0.1:37626
[SERVER] bloco 170 -> 127.0.0.1:37624
[SERVER] bloco 165 -> 127.0.0.1:37626
[SERVER] bloco 171 -> 127.0.0.1:37624
[SERVER] bloco 166 -> 127.0.0.1:37626
[SERVER] bloco 167 -> 127.0.0.1:37626
[SERVER] bloco 172 -> 127.0.0.1:37624
[SERVER] bloco 168 -> 127.0.0.1:37626
[SERVER] bloco 173 -> 127.0.0.1:37624
[SERVER] bloco 169 -> 127.0.0.1:37626
[SERVER] bloco 170 -> 127.0.0.1:37626
[SERVER] bloco 174 -> 127.0.0.1:37624
[SERVER] bloco 171 -> 127.0.0.1:37626
[SERVER] bloco 175 -> 127.0.0.1:37624
[SERVER] bloco 172 -> 127.0.0.1:37626
[SERVER] bloco 176 -> 127.0.0.1:37624
[SERVER] bloco 173 -> 127.0.0.1:37626
[SERVER] bloco 177 -> 127.0.0.1:37624
[SERVER] bloco 174 -> 127.0.0.1:37626
[SERVER] bloco 178 -> 127.0.0.1:37624
[SERVER] bloco 175 -> 127.0.0.1:37626
[SERVER] bloco 179 -> 127.0.0.1:37624
[SERVER] bloco 176 -> 127.0.0.1:37626
[SERVER] bloco 180 -> 127.0.0.1:37624
[SERVER] bloco 177 -> 127.0.0.1:37626
[SERVER] bloco 181 -> 127.0.0.1:37624
[SERVER] bloco 178 -> 127.0.0.1:37626
[SERVER] bloco 182 -> 127.0.0.1:37624
[SERVER] bloco 179 -> 127.0.0.1:37626
[SERVER] bloco 183 -> 127.0.0.1:37624
[SERVER] bloco 180 -> 127.0.0.1:37626
[SERVER] bloco 184 -> 127.0.0.1:37624
[SERVER] bloco 181 -> 127.0.0.1:37626
[SERVER] bloco 185 -> 127.0.0.1:37624
[SERVER] bloco 182 -> 127.0.0.1:37626
[SERVER] bloco 186 -> 127.0.0.1:37624
[SERVER] bloco 183 -> 127.0.0.1:37626
[SERVER] bloco 187 -> 127.0.0.1:37624
[SERVER] bloco 184 -> 127.0.0.1:37626
[SERVER] bloco 188 -> 127.0.0.1:37624
[SERVER] bloco 185 -> 127.0.0.1:37626
[SERVER] bloco 189 -> 127.0.0.1:37624
[SERVER] bloco 190 -> 127.0.0.1:37624
[SERVER] bloco 186 -> 127.0.0.1:37626
[SERVER] bloco 187 -> 127.0.0.1:37626
[SERVER] bloco 191 -> 127.0.0.1:37624
[SERVER] bloco 188 -> 127.0.0.1:37626
[SERVER] bloco 192 -> 127.0.0.1:37624
[SERVER] bloco 189 -> 127.0.0.1:37626
[SERVER] bloco 193 -> 127.0.0.1:37624
[SERVER] bloco 194 -> 127.0.0.1:37624
[SERVER] bloco 190 -> 127.0.0.1:37626
[SERVER] bloco 195 -> 127.0.0.1:37624
[SERVER] bloco 191 -> 127.0.0.1:37626
[SERVER] bloco 196 -> 127.0.0.1:37624
[SERVER] bloco 192 -> 127.0.0.1:37626
[SERVER] bloco 197 -> 127.0.0.1:37624
[SERVER] bloco 193 -> 127.0.0.1:37626
[SERVER] bloco 198 -> 127.0.0.1:37624
[SERVER] bloco 194 -> 127.0.0.1:37626
[SERVER] bloco 199 -> 127.0.0.1:37624
[SERVER] bloco 195 -> 127.0.0.1:37626
[SERVER] bloco 200 -> 127.0.0.1:37624
[SERVER] bloco 196 -> 127.0.0.1:37626
[SERVER] bloco 197 -> 127.0.0.1:37626
[SERVER] bloco 201 -> 127.0.0.1:37624
[SERVER] bloco 198 -> 127.0.0.1:37626
[SERVER] bloco 202 -> 127.0.0.1:37624
[SERVER] bloco 199 -> 127.0.0.1:37626
[SERVER] bloco 203 -> 127.0.0.1:37624
[SERVER] bloco 200 -> 127.0.0.1:37626
[SERVER] bloco 204 -> 127.0.0.1:37624
[SERVER] bloco 201 -> 127.0.0.1:37626
[SERVER] bloco 205 -> 127.0.0.1:37624
[SERVER] bloco 202 -> 127.0.0.1:37626
[SERVER] bloco 206 -> 127.0.0.1:37624
[SERVER] bloco 203 -> 127.0.0.1:37626
[SERVER] bloco 207 -> 127.0.0.1:37624
[SERVER] bloco 204 -> 127.0.0.1:37626
[SERVER] bloco 208 -> 127.0.0.1:37624
[SERVER] bloco 205 -> 127.0.0.1:37626
[SERVER] bloco 209 -> 127.0.0.1:37624
[SERVER] bloco 206 -> 127.0.0.1:37626
[SERVER] bloco 210 -> 127.0.0.1:37624
[SERVER] bloco 207 -> 127.0.0.1:37626
[SERVER] bloco 211 -> 127.0.0.1:37624
[SERVER] bloco 208 -> 127.0.0.1:37626
[SERVER] bloco 212 -> 127.0.0.1:37624
[SERVER] bloco 209 -> 127.0.0.1:37626
[SERVER] bloco 213 -> 127.0.0.1:37624
[SERVER] bloco 210 -> 127.0.0.1:37626
[SERVER] bloco 214 -> 127.0.0.1:37624
[SERVER] bloco 211 -> 127.0.0.1:37626
[SERVER] bloco 212 -> 127.0.0.1:37626
[SERVER] bloco 215 -> 127.0.0.1:37624
[SERVER] bloco 213 -> 127.0.0.1:37626
[SERVER] bloco 216 -> 127.0.0.1:37624
[SERVER] bloco 214 -> 127.0.0.1:37626
[SERVER] bloco 217 -> 127.0.0.1:37624
[SERVER] bloco 215 -> 127.0.0.1:37626
[SERVER] bloco 218 -> 127.0.0.1:37624
[SERVER] bloco 216 -> 127.0.0.1:37626
[SERVER] bloco 219 -> 127.0.0.1:37624
[SERVER] bloco 217 -> 127.0.0.1:37626
[SERVER] bloco 220 -> 127.0.0.1:37624
[SERVER] bloco 221 -> 127.0.0.1:37624
[SERVER] bloco 218 -> 127.0.0.1:37626
[SERVER] bloco 222 -> 127.0.0.1:37624
[SERVER] bloco 219 -> 127.0.0.1:37626
[SERVER] bloco 223 -> 127.0.0.1:37624
[SERVER] bloco 220 -> 127.0.0.1:37626
[SERVER] bloco 224 -> 127.0.0.1:37624
[SERVER] bloco 221 -> 127.0.0.1:37626
[SERVER] bloco 225 -> 127.0.0.1:37624
[SERVER] bloco 222 -> 127.0.0.1:37626
[SERVER] bloco 226 -> 127.0.0.1:37624
[SERVER] bloco 223 -> 127.0.0.1:37626
[SERVER] bloco 227 -> 127.0.0.1:37624
[SERVER] bloco 224 -> 127.0.0.1:37626
[SERVER] bloco 228 -> 127.0.0.1:37624
[SERVER] bloco 225 -> 127.0.0.1:37626
[SERVER] bloco 229 -> 127.0.0.1:37624
[SERVER] bloco 226 -> 127.0.0.1:37626
[SERVER] bloco 230 -> 127.0.0.1:37624
[SERVER] bloco 227 -> 127.0.0.1:37626
[SERVER] bloco 231 -> 127.0.0.1:37624
[SERVER] bloco 228 -> 127.0.0.1:37626
[SERVER] bloco 232 -> 127.0.0.1:37624
[SERVER] bloco 229 -> 127.0.0.1:37626
[SERVER] bloco 233 -> 127.0.0.1:37624
[SERVER] bloco 230 -> 127.0.0.1:37626
[SERVER] bloco 234 -> 127.0.0.1:37624
[SERVER] bloco 231 -> 127.0.0.1:37626
[SERVER] bloco 235 -> 127.0.0.1:37624
[SERVER] bloco 232 -> 127.0.0.1:37626
[SERVER] bloco 233 -> 127.0.0.1:37626
[SERVER] bloco 236 -> 127.0.0.1:37624
[SERVER] bloco 234 -> 127.0.0.1:37626
[SERVER] bloco 237 -> 127.0.0.1:37624
[SERVER] bloco 235 -> 127.0.0.1:37626
[SERVER] bloco 238 -> 127.0.0.1:37624
[SERVER] bloco 236 -> 127.0.0.1:37626
[SERVER] bloco 239 -> 127.0.0.1:37624
[SERVER] bloco 237 -> 127.0.0.1:37626
[SERVER] bloco 240 -> 127.0.0.1:37624
[SERVER] bloco 238 -> 127.0.0.1:37626
[SERVER] bloco 241 -> 127.0.0.1:37624
[SERVER] bloco 242 -> 127.0.0.1:37624
[SERVER] bloco 239 -> 127.0.0.1:37626
[SERVER] bloco 243 -> 127.0.0.1:37624
[SERVER] bloco 240 -> 127.0.0.1:37626
[SERVER] bloco 244 -> 127.0.0.1:37624
[SERVER] bloco 241 -> 127.0.0.1:37626
[SERVER] bloco 245 -> 127.0.0.1:37624
[SERVER] bloco 242 -> 127.0.0.1:37626
[SERVER] bloco 246 -> 127.0.0.1:37624
[SERVER] bloco 243 -> 127.0.0.1:37626
[SERVER] bloco 247 -> 127.0.0.1:37624
[SERVER] bloco 244 -> 127.0.0.1:37626
[SERVER] bloco 248 -> 127.0.0.1:37624
[SERVER] bloco 245 -> 127.0.0.1:37626
[SERVER] bloco 249 -> 127.0.0.1:37624
[SERVER] bloco 246 -> 127.0.0.1:37626
[SERVER] bloco 250 -> 127.0.0.1:37624
[SERVER] bloco 247 -> 127.0.0.1:37626
[SERVER] bloco 251 -> 127.0.0.1:37624
[SERVER] bloco 252 -> 127.0.0.1:37624
[SERVER] bloco 248 -> 127.0.0.1:37626
[SERVER] bloco 249 -> 127.0.0.1:37626
[SERVER] bloco 253 -> 127.0.0.1:37624
[SERVER] bloco 250 -> 127.0.0.1:37626
[SERVER] bloco 254 -> 127.0.0.1:37624
[SERVER] bloco 251 -> 127.0.0.1:37626
[SERVER] bloco 255 -> 127.0.0.1:37624
[SERVER] bloco 252 -> 127.0.0.1:37626
[SERVER] bloco 256 -> 127.0.0.1:37624
[SERVER] bloco 253 -> 127.0.0.1:37626
[SERVER] bloco 257 -> 127.0.0.1:37624
[SERVER] bloco 254 -> 127.0.0.1:37626
[SERVER] bloco 258 -> 127.0.0.1:37624
[SERVER] bloco 255 -> 127.0.0.1:37626
[SERVER] bloco 256 -> 127.0.0.1:37626
[SERVER] bloco 259 -> 127.0.0.1:37624
[SERVER] bloco 257 -> 127.0.0.1:37626
[SERVER] bloco 260 -> 127.0.0.1:37624
[SERVER] bloco 258 -> 127.0.0.1:37626
[SERVER] bloco 261 -> 127.0.0.1:37624
[SERVER] bloco 259 -> 127.0.0.1:37626
[SERVER] bloco 262 -> 127.0.0.1:37624
[SERVER] bloco 260 -> 127.0.0.1:37626
